"キーCD","受注品番","サプライヤーコード","メーカー品番","メーカー名","商品の説明","メーカー品名","ブランド","シリーズ","規格コード","販売開始日","日本語表記"
"6300021225","6300021225","S115841770","OY-FF90-SF","フジファインズ","オゾン除菌加湿器 O3MAX Air専用の精製水フィルターです。","Ｏ３Ｍａｘ　Ａｉｒ精製水フィルター　ＯＹ－ＦＦ９０－ＳＦ",,,"4573467260318",,"MRO"
"6300021226","6300021226","S115841770","OY-FF90-AF","フジファインズ","オゾン除菌加湿器 O3MAX Air専用のエアフィルターです。","Ｏ３Ｍａｘ　Ａｉｒエアフィルター　ＯＹ－ＦＦ９０－ＡＦ",,,"4573467260325",,"MRO"
"6300021227","6300021227","S115841770","JVC-AD2LT","ジェイウィン","手をかざすとセンサーが反応して自動でアルコールを噴射します。アルコール噴射と同時に温度測定が可能です。警告温度37.4℃～37.9℃でディスプレイ上のライト黄色に点滅しアラーム音が二回なります。異常温度38℃～42℃でデイスプレイ上のライトが赤く点滅を繰り返しアラーム音が5秒間続きます。","温度計付き大容量オートディスペンサー　ＪＶＣ－ＡＤ２ＬＴ",,,"4580646301823",,"MRO"
"6300021228","6300021228","S115841770","JVC-ST","ジェイウィン","深皿でボトルがズレ落ちない台座になっています。消毒液など置いて使用します。","アルコール除菌剤用スタンド　ＪＶＣ－ＳＴ",,,"4580646301830",,"MRO"
"6300021229","6300021229","S115841770","JVC-ST3","ジェイウィン","足踏み式のスタンドで、消毒液などを設置して使用します。","アルコール除菌剤用スタンド（足踏み式）　ＪＶＣ－ＳＴ３",,,"4580646301847",,"MRO"
"6300021230","6300021230","S115841770","JVC-VH100","ジェイウィン","持ち運びに便利なベルトホルダーで、清掃時などの消毒液などの持ち運びに使用します。","ベルトホルダー　１００ｍＬ用　ＪＶＣ－ＶＨ１００",,,"4580646301854",,"MRO"
"6300021231","6300021231","S115841770","JVC-VH500","ジェイウィン","持ち運びに便利なベルトホルダーで、清掃時などの消毒液などの持ち運びに使用します。","ベルトホルダー　５００ｍＬ用　ＪＶＣ－ＶＨ５００",,,"4580646301861",,"MRO"
"6300021232","6300021232","S115841770","JVC-ON01","ジェイウィン","使い捨てマスクの内側に押し込む事でマスクがヒンヤリします。生地を水に濡らして使用すると冷感効果がアップします。マスク内のニオイを強力脱臭、繰り返し洗って使用できるので経済的です。","シリカクリンオクタゴン（八角形）シート　ＪＶＣ－OＮ０１",,,"4580646301878",,"MRO"
"6300021233","6300021233","S115841770","JVC-JPD","ジェイウィン","止血剤を使わず、ガーゼに比べて迅速な止血が可能です。止血部分に当てて固定すだけなので専門知識が要らない簡単な取扱いです。傷口に血餅を生じさせ止血する、ユニークな３層構造で、防水性バックシートにより二次感染リスクを軽減します。避難用備蓄品としてもご活用ください。","救急止血パッド（Ｊ・ＰＡＤ）　ＪＶＣ－ＪＰＤ",,,"4580646301885",,"MRO"
"6300021234","6300021234","S115841770","IRI-s","ジェイウィン","曇らない、軽い、高いフィット感の保護メガネです。ノーズパッドが、前後、左右上下に動かせます。テンプルの角度が調節可能です。","保護メガネ　ボレーセフティ　ＩＲＩ－ｓ",,,"4580646301892",,"MRO"
